title	subtitle	id	networkName	networkId	color	textColor	latitude	longitude	type	location	bike_count	electric_bike_count	dock_count
Capital Bikeshare EBike		6d65a80abe9c50c7dd4e9dbbc85b7ce3	Capital Bikeshare	12	EE3124	FFFFFF	38.9044564	-77.0277236	electric-bike	Washington, DC	0	0	0
Capital Bikeshare EBike		43319e72c4a037066ad9d172c9433fd8	Capital Bikeshare	12	EE3124	FFFFFF	38.9125016	-77.0447871	electric-bike	Washington, DC	0	0	0
Electric bike		bd4383ca-807f-4b58-97c2-1aee0aa1e9a0	Lime Bike	611	14D200	FFFFFF	38.9101710	-77.0261020	electric-bike	Washington, DC	0	0	0
Electric bike		9884a3a8-b111-48a9-a496-04151a11202c	Lime Bike	611	14D200	FFFFFF	38.9117370	-77.0270820	electric-bike	Washington, DC	0	0	0
Electric bike		ea738050-ef33-458c-b9ef-e08269eb9077	Lime Bike	611	14D200	FFFFFF	38.9107730	-77.0272660	electric-bike	Washington, DC	0	0	0
Electric bike		b6fe3a54-4136-4c4c-9de3-6d1ba380f101	Lime Bike	611	14D200	FFFFFF	38.9102810	-77.0319790	electric-bike	Washington, DC	0	0	0
Electric bike		250d8e03-760d-48bf-8460-961db67ac62b	Lime Bike	611	14D200	FFFFFF	38.9117750	-77.0320180	electric-bike	Washington, DC	0	0	0
Electric bike		342ada91-a514-40af-bf42-cb2cb29856fb	Lime Bike	611	14D200	FFFFFF	38.9146690	-77.0320490	electric-bike	Washington, DC	0	0	0
Electric bike		94458a93-7633-4528-91ae-043b0a010b01	Lime Bike	611	14D200	FFFFFF	38.9119970	-77.0320660	electric-bike	Washington, DC	0	0	0
Electric bike		31d53935-6345-4c21-976d-e24890a137a8	Lime Bike	611	14D200	FFFFFF	38.9111810	-77.0325540	electric-bike	Washington, DC	0	0	0
Electric bike		d7496db5-86fd-4e6a-bbf8-1029c265ddfa	Lime Bike	611	14D200	FFFFFF	38.9098430	-77.0338240	electric-bike	Washington, DC	0	0	0
Electric bike		6f687393-98b6-42a6-897f-23c6302aa7e9	Lime Bike	611	14D200	FFFFFF	38.9096680	-77.0339450	electric-bike	Washington, DC	0	0	0
Electric bike		b14c5b29-b02e-4aa0-9b80-c8b606b81601	Lime Bike	611	14D200	FFFFFF	38.9097400	-77.0471660	electric-bike	Washington, DC	0	0	0
Electric bike		3f648022-012b-4025-8fc7-6dc63b39c64e	Lime Bike	611	14D200	FFFFFF	38.9047940	-77.0270310	electric-bike	Washington, DC	0	0	0
Electric bike		127f9a81-0392-4ea0-af9b-6dbac777b17f	Lime Bike	611	14D200	FFFFFF	38.9053190	-77.0270470	electric-bike	Washington, DC	0	0	0
